MOR tags,ID,DCOI,FORM,EXAMPLES,
adj-PRE-CP-E-STAN,[T205],"ADJ(prenom,comp,met-e,stan)",lemma,"mooiere huizen, een grotere pot",
adj-PRE-CP-E-BIJZ,[T206],"ADJ(prenom,comp,met-e,bijz)",lemma,van beteren huize,
adj-PRE-SP-Z,[T207],"ADJ(prenom,sup,zonder)",lemma,een alleraardigst mens,
adj-PRE-SP-E-STAN,[T208],"ADJ(prenom,sup,met-e,stan)",lemma,"de mooiste keuken, het grootste paard",
adj-PRE-SP-E-BIJZ,[T209],"ADJ(prenom,sup,met-e,bijz)",lemma,bester kwaliteit,
adj-DECL-BAS-Z-ZN,[T210],"ADJ(nom,basis,zonder,zonder-n)",lemma,"in het groot, het groen",
adj-DECL-BAS-Z-MN,[T211],"ADJ(nom,basis,zonder,mv-n)",lemma,"de timiden, dezelfden",
adj-DECL-BAS-E-ZN-STAN,[T212],"ADJ(nom,basis,met-e,zonder-n,stan)",lemma,"het leuke is dat, een grote met tartaar",
adj-DECL-BAS-E-ZN-BIJZ,[T213],"ADJ(nom,basis,met-e,zonder-n,bijz)",lemma,hosanna in den hogen,
adj-DECL-BAS-E-MN,[T214],"ADJ(nom,basis,met-e,mv-n)",lemma,de rijken,
adj-DECL-CP-Z-ZN,[T215],"ADJ(nom,comp,zonder,zonder-n)",lemma,,
adj-DECL-CP-E-ZN-STAN,[T216),"ADJ(nom,comp,met-e,zonder-n,stan)",lemma,een betere,
adj-DECL-CP-E-ZN-BIJZ,[T217],"ADJ(nom,comp,met-e,zonder-n,bijz)",lemma,,
adj-DECL-CP-E-MN,[T218),"ADJ(nom,comp,met-e,mv-n)",lemma,de ouderen,
adj-DECL-SP-Z-ZN,[T219],"ADJ(nom,sup,zonder,zonder-n)",lemma,"op z’n best, om ter snelst",
adj-DECL-SP-E-ZN-STAN,[T220],"ADJ(nom,sup,met-e,zonder-n,stan)",lemma,"het leukste is dat, het langste blijven",
adj-DECL-SP-E-ZN-BIJZ,[T221],"ADJ(nom,sup,met-e,zonder-n,bijz)",lemma,des Allerhoogsten,
adj-DECL-SP-E-MN,[T222],"ADJ(nom,sup,met-e,mv-n)",lemma,de slimsten,
adj-POST-BAS-Z,[T223],"ADJ(postnom,basis,zonder)",lemma,rivieren bevaarbaar in de winter,
adj-POST-BAS-S,[T224],"ADJ(postnom,basis,met-s)",lemma,iets moois,
adj-POST-CP-Z,[T225],"ADJ(postnom,comp,zonder)",lemma,een getal groter dan,
adj-POST-CP-S,[T226],"ADJ(postnom,comp,met-s)",lemma,iets gekkers kon ik niet bedenken,
adj-VRIJ-BAS-Z,[T227],"ADJ(vrij,basis,zonder)",lemma,"die stok is lang, lang slapen",
adj-VRIJ-CP-Z,[T228],"ADJ(vrij,comp,zonder)",lemma,"deze stok is langer, langer slapen",
adj-VRIJ-SP-Z,[T229],"ADJ(vrij,sup,zonder)",lemma,"die stok is het langst, het langst slapen",
adj-VRIJ-DIM-Z,[T230],"ADJ(vrij,dim,zonder)",lemma,"het is hier stilletjes, stilletjes weggaan",
v-FIN-PRES-SG,[T301],"WW(pv,tgw,ev)",root,"ik kom, speel je, hij is, zwijg",
v-FIN-PRES-PL,[T302],"WW(pv,tgw,mv)",root,"komen, spelen",
v-FIN-PRES-T,[T303],"WW(pv,tgw,met-t)",root,"jij komt, hij speelt, zwijgt",
v-FIN-PAST-SG,[T304],"WW(pv,verl,ev)",root,"kwam, speelde",
v-FIN-PAST-PL,[T305],"WW(pv,verl,mv)",root,"kwamen, speelden",
v-FIN-PAST-T,[T306],"WW(pv,verl,met-t)",root,"kwaamt, gingt",
v-FIN-CONJ-SG,[T309],"WW(pv,conj,ev)",root,"kome, leve de koning",
v-INF-PRE-Z,[T310],"WW(inf,prenom,zonder)",root,de nog te lezen post,
v-INF-PRE-E,[T311],"WW(inf,prenom,met-e)",root,een niet te weerstane verleiding,
v-INF-DECL-Z-ZN,[T312],"WW(inf,nom,zonder,zonder-n)",root,"(het) spelen, (het) schaatsen",
v-INF-VRIJ-Z,[T314],"WW(inf,vrij,zonder)",root,zal komen,
v-PASTP-PRE-Z,[T315],"WW(vd,prenom,zonder)",root,"een verwittigd man, een gekregen paard",
v-PASTP-PRE-E,[T316],"WW(vd,prenom,met-e)",root,een getemde feeks,
v-PASTP-DECL-E-ZN,[T317],"WW(vd,nom,met-e,zonder-n)",root,"het geschrevene, een gekwetste",
v-PASTP-DECL-E-MN,[T318],"WW(vd,nom,met-e,mv-n)",root,"gekwetsten, gedupeerden",
v-PASTP-VRIJ-Z,[T320],"WW(vd,vrij,zonder)",root,is gekomen,
v-PRESP-PRE-Z,[T321],"WW(od,prenom,zonder)",root,een slapend kind,
v-PRESP-PRE-E,[T322],"WW(od,prenom,met-e)",root,"een piano spelende aap, slapende kinderen",
v-PRESP-DECL-E-ZN,[T323],"WW(od,nom,met-e,zonder-n)",root,"het resterende, een klagende",
v-PRESP-DECL-E-MN,[T324],"WW(od,nom,met-e,mv-n)",root,de wachtenden,
v-PRESP-VRIJ-Z,[T326],"WW(od,vrij,zonder)",root,"liep lachend weg, al doende leert men",
det:num-PRE-STAN,[T401],"TW(hoofd,prenom,stan)",lemma,vier cijfers,
det:num-PRE-BIJZ,[T402],"TW(hoofd,prenom,bijz)",lemma,"eens geestes zijn, te enen male",
det:num-DECL-ZN-BAS,[T403],"TW(hoofd,nom,zonder-n,basis)",lemma,er is er een ontsnapt,
det:num-DECL-MN-BAS,[T404],"TW(hoofd,nom,mv-n,basis)",lemma,met z’n vieren,
det:num-DECL-ZN-DIM,[T405],"TW(hoofd,nom,zonder-n,dim)",lemma,"er is er eentje ontsnapt, op z’n eentje",
det:num-DECL-MN-DIM,[T406],"TW(hoofd,nom,mv-n,dim)",lemma,met z’n tweetjes,
det:num-VRIJ,[T407],"TW(hoofd,vrij)",lemma,"veertig worden, honderd rijden, hoeveel sneller",
adj:num-PRE-STAN,[T408],"TW(rang,prenom,stan)",lemma,de vierde man,
adj:num-PRE-BIJZ,[T409],"TW(rang,prenom,bijz)",lemma,te elfder ure,
adj:num-DECL-ZN,[T410],"TW(rang,nom,zonder-n)",lemma,"het eerste, (de) vierde eindigen, Karel de Vijfde",
adj:num-DECL-MN,[T411],"TW(rang,nom,mv-n)",lemma,"de eersten, iets aan derden verkopen",
pro:pers&1s-NOM-VOL,[T501a],"VNW(pers,pron,nomin,vol,1,ev)",lemma,ik,
pro:pers&1s-NOM-NADR,[T501b],"VNW(pers,pron,nomin,nadr,1,ev)",lemma,"ikzelf, ikke",
pro:pers&1s-NOM-RED,[T501c],"VNW(pers,pron,nomin,red,1,ev)",lemma,’k,
pro:pers&1p-NOM-VOL,[T501d],"VNW(pers,pron,nomin,vol,1,mv)",lemma,wij,
pro:pers&1p-NOM-NADR,[T501e],"VNW(pers,pron,nomin,nadr,1,mv)",lemma,wijzelf,
pro:pers&1p-NOM-RED,[T501f],"VNW(pers,pron,nomin,red,1,mv)",lemma,we,
pro:pers&2s-NOM-VOL,[T501g],"VNW(pers,pron,nomin,vol,2v,ev)",lemma,jij,
pro:pers&2s-NOM-NADR,[T501h],"VNW(pers,pron,nomin,nadr,2v,ev)",lemma,jijzelf,
pro:pers&2s-NOM-RED,[T501i],"VNW(pers,pron,nomin,red,2v,ev)",lemma,je,
pro:pers&2u-NOM-VOL,[U501j],"VNW(pers,pron,nomin,vol,2b,getal)",lemma,u,
pro:pers&2u-NOM-NADR,[U501k],"VNW(pers,pron,nomin,nadr,2b,getal)",lemma,uzelf,
pro:pers&2g-NOM-VOL,[U501l],"VNW(pers,pron,nomin,vol,2,getal)",lemma,gij,
pro:pers&2g-NOM-NADR,[U501m],"VNW(pers,pron,nomin,nadr,2,getal)",lemma,gijzelf,
pro:pers&2g-NOM-RED,[U501n],"VNW(pers,pron,nomin,red,2,getal)",lemma,ge,
pro:pers&3s:m-NOM-VOL,[U501o],"VNW(pers,pron,nomin,vol,3,ev,masc)",lemma,hij,
pro:pers&3s:m-NOM-NADR,[T501p],"VNW(pers,pron,nomin,nadr,3m,ev,masc)",lemma,hijzelf,
pro:pers&3s:m-NOM-RED,[U501q],"VNW(pers,pron,nomin,red,3,ev,masc)",lemma,ie,
pro:indef&3p:m-NOM-RED,[U501r],"VNW(pers,pron,nomin,red,3p,ev,masc)",lemma,men,
pro:pers&3s:f-NOM-VOL,[T501s],"VNW(pers,pron,nomin,vol,3v,ev,fem)",lemma,zij,
pro:pers&3s:f-NOM-NADR,[T501t],"VNW(pers,pron,nomin,nadr,3v,ev,fem)",lemma,zijzelf,
pro:pers&3p-NOM-VOL,[U501u],"VNW(pers,pron,nomin,vol,3p,mv)",lemma,zij,
pro:pers&3p-NOM-NADR,[U501v],"VNW(pers,pron,nomin,nadr,3p,mv)",lemma,zijzelf,
pro:pers&2s-OBL-VOL,[T502a],"VNW(pers,pron,obl,vol,2v,ev)",lemma,jou,
pro:pers&3s:m-OBL-VOL,[U502b],"VNW(pers,pron,obl,vol,3,ev,masc)",lemma,hem,
pro:pers&3s:m-OBL-NADR,[T502c],"VNW(pers,pron,obl,nadr,3m,ev,masc)",lemma,hemzelf,
pro:pers&3s:m-OBL-RED,[U502d],"VNW(pers,pron,obl,red,3,ev,masc)",lemma,’m,
pro:pers&3s/p:f-OBL-VOL,[U502e],"VNW(pers,pron,obl,vol,3,getal,fem)",lemma,haar,
pro:pers&3s/p:f-OBL-NADR,[U502f],"VNW(pers,pron,obl,nadr,3v,getal,fem)",lemma,haarzelf,
pro:pers&3s/p:f-OBL-RED,[U502g],"VNW(pers,pron,obl,red,3v,getal,fem)",lemma,"’r, d’r",
pro:pers&3p-OBL-VOL,[U502h],"VNW(pers,pron,obl,vol,3p,mv)",lemma,"hen, hun",
pro:pers&3p-OBL-NADR,[U502i],"VNW(pers,pron,obl,nadr,3p,mv)",lemma,"henzelf, hunzelf",
pro:pers&2p-STAN-NADR,[U503a],"VNW(pers,pron,stan,nadr,2v,mv)",lemma,jullie,
pro:pers&3s:o-STAN-RED,[U503b],"VNW(pers,pron,stan,red,3,ev,onz)",lemma,"het, ’t",
pro:pers&3s:f-STAN-RED,[U503c],"VNW(pers,pron,stan,red,3,ev,fem)",lemma,ze,
pro:pers&3p-STAN-RED,[U503d],"VNW(pers,pron,stan,red,3,mv)",lemma,ze,
pro:pers&1s-POSS-VOL,[T504a],"VNW(pers,pron,gen,vol,1,ev)",lemma,"mijns gelijke, gedenk mijner",
pro:pers&1p-POSS-VOL,[T504b],"VNW(pers,pron,gen,vol,1,mv)",lemma,"ons gelijke, velen onzer",
pro:pers&2u-POSS-VOL,[U504c],"VNW(pers,pron,gen,vol,2,getal)",lemma,"uws gelijke, wie uwer",
pro:pers&3s:m-POSS-VOL,[T504d],"VNW(pers,pron,gen,vol,3m,ev)",lemma,"zijns gelijke, zijner",
pro:pers&3s:f-POSS-VOL,[U504e],"VNW(pers,pron,gen,vol,3v,getal)",lemma,"haars gelijke, harer",
pro:pers&3p-POSS-VOL,[U504f],"VNW(pers,pron,gen,vol,3p,mv)",lemma,"huns gelijke, een hunner",
pro:pr&1s-OBL-VOL,[U505a],"VNW(pr,pron,obl,vol,1,ev)",lemma,mij,
pro:pr&1s-OBL-NADR,[U505b],"VNW(pr,pron,obl,nadr,1,ev)",lemma,"mezelf, mijzelf",
pro:pr&1s-OBL-RED,[U505c],"VNW(pr,pron,obl,red,1,ev)",lemma,me,
pro:pr&1p-OBL-VOL,[U505d],"VNW(pr,pron,obl,vol,1,mv)",lemma,ons,
pro:pr&1p-OBL-NADR,[U505e],"VNW(pr,pron,obl,nadr,1,mv)",lemma,onszelf,
pro:pr&2s/p-OBL-RED,[U505f],"VNW(pr,pron,obl,red,2v,getal)",lemma,je,
pro:pr&2s/p-OBL-NADR,[U505g],"VNW(pr,pron,obl,nadr,2v,getal)",lemma,jezelf,
pro:pr&2u-OBL-VOL,[U505h],"VNW(pr,pron,obl,vol,2,getal)",lemma,u,
pro:pr&2u-OBL-NADR,[U505i],"VNW(pr,pron,obl,nadr,2,getal)",lemma,uzelf,
pro:ref&3s/p-OBL-RED,[U506a],"VNW(refl,pron,obl,red,3,getal)",lemma,zich,
pro:ref&3s/p-OBL-NADR,[U506b],"VNW(refl,pron,obl,nadr,3,getal)",lemma,zichzelf,
pro:recip&#p-OBL-VOL,[U507a],"VNW(recip,pron,obl,vol,persoon,mv)",lemma,"elkaar, mekaar, elkander",
pro:recip&#p-POSS-VOL,[U508a],"VNW(recip,pron,gen,vol,persoon,mv)",lemma,"elkaars, mekaars, elkanders",
pro:poss&1s-STAN-VOL-PRE-Z-AGR,[U509a],"VNW(bez,det,stan,vol,1,ev,prenom,zonder,agr)",lemma,mijn paard(en),NPAGR. Het vereist een enkelvoudig onzijdig substantief (‘evon’) en de een
pro:poss&1s-STAN-VOL-PRE-E-REST,[U509b],"VNW(bez,det,stan,vol,1,ev,prenom,met-e,rest)",lemma,mijne heren,"enkelvoudig zijdig of meervoudig substantief (‘rest’). POS manual 2.6.3, onder 19., p. 54"
pro:poss&1s-STAN-RED-PRE-Z-AGR,[U509c],"VNW(bez,det,stan,red,1,ev,prenom,zonder,agr)",lemma,m’n paard(en),
pro:poss&1p-STAN-VOL-PRE-Z-EVON,[U509d],"VNW(bez,det,stan,vol,1,mv,prenom,zonder,evon)",lemma,ons paard,
pro:poss&1p-STAN-VOL-PRE-E-REST,[U509e],"VNW(bez,det,stan,vol,1,mv,prenom,met-e,rest)",lemma,onze paarden,
pro:poss&2u-STAN-VOL-PRE-Z-AGR,[U509f],"VNW(bez,det,stan,vol,2,getal,prenom,zonder,agr)",lemma,uw paard(en),
pro:poss&2u-STAN-VOL-PRE-E-REST,[U509g],"VNW(bez,det,stan,vol,2,getal,prenom,met-e,rest)",lemma,uwe heiligheid,
pro:poss&2s-STAN-VOL-PRE-Z-AGR,[U509h],"VNW(bez,det,stan,vol,2v,ev,prenom,zonder,agr)",lemma,jouw paard(en),
pro:poss&2s-STAN-RED-PRE-Z-AGR,[U509i],"VNW(bez,det,stan,red,2v,ev,prenom,zonder,agr)",lemma,je paard(en),
pro:poss&2p-STAN-NADR-PRE-Z-AGR,[U509j],"VNW(bez,det,stan,nadr,2v,mv,prenom,zonder,agr)",lemma,jullie paard(en),
pro:poss&3s-STAN-VOL-PRE-Z-AGR,[U509k],"VNW(bez,det,stan,vol,3,ev,prenom,zonder,agr)",lemma,"zijn paard(en), haar kind",
pro:poss&3s:m-STAN-VOL-PRE-E-REST,[U509l],"VNW(bez,det,stan,vol,3m,ev,prenom,met-e,rest)",lemma,zijne excellentie,
pro:poss&3s:f-STAN-VOL-PRE-E-REST,[U509m],"VNW(bez,det,stan,vol,3v,ev,prenom,met-e,rest)",lemma,hare majesteit,
pro:poss&3s:m-STAN-RED-PRE-Z-AGR,[U509n],"VNW(bez,det,stan,red,3,ev,prenom,zonder,agr)",lemma,z’n paard,
pro:poss&3p-STAN-VOL-PRE-Z-AGR,[U509o],"VNW(bez,det,stan,vol,3,mv,prenom,zonder,agr)",lemma,hun paarden,
pro:poss&3p-STAN-VOL-PRE-E-REST,[U509p],"VNW(bez,det,stan,vol,3p,mv,prenom,met-e,rest)",lemma,hunne,
pro:poss&3s:f-STAN-RED-PRE-Z-AGR,[U509q],"VNW(bez,det,stan,red,3,getal,prenom,zonder,agr)",lemma,"’r paard, d’r paard",
pro:poss&1s-POSS-VOL-PRE-Z-EVMO,[T510a],"VNW(bez,det,gen,vol,1,ev,prenom,zonder,evmo)",lemma,mijns inziens,
pro:poss&1s-POSS-VOL-PRE-E-REST,[U510b],"VNW(bez,det,gen,vol,1,ev,prenom,met-e,rest)",lemma,een mijner vrienden,
pro:poss&1p-POSS-VOL-PRE-E-EVMO,[T510c],"VNW(bez,det,gen,vol,1,mv,prenom,met-e,evmo)",lemma,onzes inziens,
pro:poss&1p-POSS-VOL-PRE-E-REST,[U510d],"VNW(bez,det,gen,vol,1,mv,prenom,met-e,rest)",lemma,een onzer vrienden,
pro:poss&2u-POSS-VOL-PRE-Z-EVMO,[U510e],"VNW(bez,det,gen,vol,2,getal,prenom,zonder,evmo)",lemma,uws,
pro:poss&2u-POSS-VOL-PRE-E-REST,[U510f],"VNW(bez,det,gen,vol,2,getal,prenom,met-e,rest)",lemma,een uwer vrienden,
pro:poss&2s-POSS-VOL-PRE-E-REST,[U510g],"VNW(bez,det,gen,vol,2v,ev,prenom,met-e,rest)",lemma,een jouwer vrienden,
pro:poss&3s:m-POSS-VOL-PRE-Z-EVMO,[U510h],"VNW(bez,det,gen,vol,3,ev,prenom,zonder,evmo)",lemma,zijns inziens,
pro:poss&3s:m-POSS-VOL-PRE-E-REST,[U510i],"VNW(bez,det,gen,vol,3,ev,prenom,met-e,rest)",lemma,een zijner vrienden,
pro:poss&3s:f-POSS-VOL-PRE-Z-EVMO,[T510j],"VNW(bez,det,gen,vol,3v,ev,prenom,zonder,evmo)",lemma,haars inziens,
pro:poss&3s:f-POSS-VOL-PRE-E-REST,[U510k],"VNW(bez,det,gen,vol,3v,ev,prenom,met-e,rest)",lemma,een harer vrienden,
pro:poss&3p-POSS-VOL-PRE-Z-EVMO,[U510l],"VNW(bez,det,gen,vol,3p,mv,prenom,zonder,evmo)",lemma,huns inziens,
pro:poss&3p-POSS-VOL-PRE-E-REST,[U510m],"VNW(bez,det,gen,vol,3p,mv,prenom,met-e,rest)",lemma,een hunner vrienden,
pro:poss&1s-DAT-VOL-PRE-E-EVMO,[T511a],"VNW(bez,det,dat,vol,1,ev,prenom,met-e,evmo)",lemma,te mijnen huize,
pro:poss&1s-DAT-VOL-PRE-E-EVF,[T511b],"VNW(bez,det,dat,vol,1,ev,prenom,met-e,evf)",lemma,te mijner ere,
pro:poss&1p-DAT-VOL-PRE-E-EVMO,[T511c],"VNW(bez,det,dat,vol,1,mv,prenom,met-e,evmo)",lemma,te onzen behoeve,
pro:poss&1p-DAT-VOL-PRE-E-EVF,[T511d],"VNW(bez,det,dat,vol,1,mv,prenom,met-e,evf)",lemma,te onzer ere,
pro:poss&2u-DAT-VOL-PRE-E-EVMO,[U511e],"VNW(bez,det,dat,vol,2,getal,prenom,met-e,evmo)",lemma,te uwen behoeve,
pro:poss&2u-DAT-VOL-PRE-E-EVF,[U511f],"VNW(bez,det,dat,vol,2,getal,prenom,met-e,evf)",lemma,te uwer ere,
pro:poss&2s-DAT-VOL-PRE-E-EVF,[T511g],"VNW(bez,det,dat,vol,2v,ev,prenom,met-e,evf)",lemma,te jouwer nagedachtenis,
pro:poss&3s-DAT-VOL-PRE-EVMO,[U511h],"VNW(bez,det,dat,vol,3,ev,prenom,met-e,evmo)",lemma,zijnen,
pro:poss&3s-DAT-VOL-PRE-E-EVF,[U511i],"VNW(bez,det,dat,vol,3,ev,prenom,met-e,evf)",lemma,te zijner tijd,
pro:poss&3s-DAT-VOL-PRE-E-EVMO,[T511j],"VNW(bez,det,dat,vol,3v,ev,prenom,met-e,evmo)",lemma,haren,
pro:poss&3s-DAT-VOL-PRE-E-EVF,[T511k],"VNW(bez,det,dat,vol,3v,ev,prenom,met-e,evf)",lemma,te harer ere,
pro:poss&3p-DAT-VOL-PRE-E-EVMO,[U511l],"VNW(bez,det,dat,vol,3p,mv,prenom,met-e,evmo)",lemma,hunnen,
pro:poss&3p-DAT-VOL-PRE-E-EVF,[U511m],"VNW(bez,det,dat,vol,3p,mv,prenom,met-e,evf)",lemma,te hunner ere,
pro:poss&1s-STAN-VOL-DECL-E-ZN,[U512h],"VNW(bez,det,stan,vol,1,ev,nom,met-e,zonder-n)",lemma,het mijne,
pro:poss&1p-STAN-VOL-DECL-E-ZN,[U512i],"VNW(bez,det,stan,vol,1,mv,nom,met-e,zonder-n)",lemma,de onze,
pro:poss&2u-STAN-VOL-DECL-E-ZN,[U512j],"VNW(bez,det,stan,vol,2,getal,nom,met-e,zonder-n)",lemma,het uwe,
pro:poss&2s-STAN-VOL-DECL-E-ZN,[U512k],"VNW(bez,det,stan,vol,2v,ev,nom,met-e,zonder-n)",lemma,de jouwe,
pro:poss&3s:m-STAN-VOL-DECL-E-ZN,[U512l],"VNW(bez,det,stan,vol,3m,ev,nom,met-e,zonder-n)",lemma,het zijne,
pro:poss&3s:f-STAN-VOL-DECL-E-ZN,[U512m],"VNW(bez,det,stan,vol,3v,ev,nom,met-e,zonder-n)",lemma,de hare,
pro:poss&3p-STAN-VOL-DECL-E-ZN,[U512n],"VNW(bez,det,stan,vol,3p,mv,nom,met-e,zonder-n)",lemma,het hunne,
pro:poss&1s-STAN-VOL-DECL-E-MN,[U512o],"VNW(bez,det,stan,vol,1,ev,nom,met-e,mv-n)",lemma,de mijnen,
pro:poss&1p-STAN-VOL-DECL-E-MN,[U512p],"VNW(bez,det,stan,vol,1,mv,nom,met-e,mv-n)",lemma,de onzen,
pro:poss&2u-STAN-VOL-DECL-E-MN,[U512q],"VNW(bez,det,stan,vol,2,getal,nom,met-e,mv-n)",lemma,de uwen,
pro:poss&2s-STAN-VOL-DECL-E-MN,[U512r],"VNW(bez,det,stan,vol,2v,ev,nom,met-e,mv-n)",lemma,de jouwen,
pro:poss&3s:m-STAN-VOL-DECL-E-MN,[U512s],"VNW(bez,det,stan,vol,3m,ev,nom,met-e,mv-n)",lemma,de zijnen,
pro:poss&3s:f-STAN-VOL-DECL-E-MN,[U512t],"VNW(bez,det,stan,vol,3v,ev,nom,met-e,mv-n)",lemma,de haren,
pro:poss&3p-STAN-VOL-DECL-E-MN,[U512u],"VNW(bez,det,stan,vol,3p,mv,nom,met-e,mv-n)",lemma,de hunnen,
pro:poss&1s-DAT-VOL-DECL-E-ZN,[T513a],"VNW(bez,det,dat,vol,1,ev,nom,met-e,zonder-n)",lemma,te mijnent,
pro:poss&1p-DAT-VOL-DECL-E-ZN,[T513b],"VNW(bez,det,dat,vol,1,mv,nom,met-e,zonder-n)",lemma,ten onzent,
pro:poss&2u-DAT-VOL-DECL-E-ZN,[U513c],"VNW(bez,det,dat,vol,2,getal,nom,met-e,zonder-n)",lemma,ten uwent,
pro:poss&3s:m-DAT-VOL-DECL-E-ZN,[T513d],"VNW(bez,det,dat,vol,3m,ev,nom,met-e,zonder-n)",lemma,te zijnent,
pro:poss&3s:f-DAT-VOL-DECL-E-ZN,[T513e],"VNW(bez,det,dat,vol,3v,ev,nom,met-e,zonder-n)",lemma,ten harent,
pro:poss&3p-DAT-VOL-DECL-E-ZN,[U513f],"VNW(bez,det,dat,vol,3p,mv,nom,met-e,zonder-n)",lemma,ten hunnent,
pro:q:pron&3s:o-STAN-NADR,[U514a],"VNW(vrag,pron,stan,nadr,3o,ev)",lemma,watte,
pro:rel:pron&#s/p-STAN-VOL,[U515a],"VNW(betr,pron,stan,vol,persoon,getal)",lemma,de man die daar staat,
pro:rel:pron&3s-STAN-VOL,[U515b],"VNW(betr,pron,stan,vol,3,ev)",lemma,het kind dat je daar ziet,
pro:rel:det-STAN-DECL-Z-ZN,[U515c],"VNW(betr,det,stan,nom,zonder,zonder-n)",lemma,"hetgeen je daar ziet, het feest tijdens hetwelk",
pro:rel:det-STAN-DECL-E-ZN,[U515d],"VNW(betr,det,stan,nom,met-e,zonder-n)",lemma,op hetgene de gemeente doet,
pro:rel:pron&3s:o-POSS-VOL,[T516a],"VNW(betr,pron,gen,vol,3o,ev)",lemma,het warenhuis welks directeur hem een baan had aangeboden,
pro:rel:pron&3s/p:o-POSS-VOL,[U516b],"VNW(betr,pron,gen,vol,3o,getal)",lemma,de kathedraal welker gewelven,
pro:q:pron&3s/p-STAN-VOL,[U517a],"VNW(vb,pron,stan,vol,3p,getal)",lemma,wie gaat er mee,
pro:q:pron&3s:o-STAN-VOL,[U517b],"VNW(vb,pron,stan,vol,3o,ev)",lemma,wat ik niet begrijp is,
pro:q:pron&3s:m-POSS-VOL,[U518a],"VNW(vb,pron,gen,vol,3m,ev)",lemma,wiens hoed is dit,
pro:q:pron&3:f-POSS-VOL,[U518b],"VNW(vb,pron,gen,vol,3v,ev)",lemma,de vrouw wier hoed daar hangt,
pro:q:pron&3p-POSS-VOL,[U518c],"VNW(vb,pron,gen,vol,3p,mv)",lemma,de studenten tegen wier houding ...,
pro:q:loc&3s/p:o-OBL-VOL,[U519a],"VNW(vb,adv-pron,obl,vol,3o,getal)",lemma,"waar ga je naartoe, de trein waar we op staan te wachten",
pro:excl:pron&3s/p-STAN-VOL,[U520a],"VNW(excl,pron,stan,vol,3,getal)",lemma,"wat een dwaasheid, wat kan jij liegen zeg",
pro:q:det-STAN-PRE-Z-EVON,[U521a],"VNW(vb,det,stan,prenom,zonder,evon)",lemma,welk kind,
pro:q:det-STAN-PRE-E-REST,[U521b],"VNW(vb,det,stan,prenom,met-e,rest)",lemma,welke kinderen,
pro:q:det-STAN-DECL-E-ZN,[U522a],"VNW(vb,det,stan,nom,met-e,zonder-n)",lemma,welke vind jij de mooiste,
pro:excl:det-STAN-VRIJ-Z,[U523a],"VNW(excl,det,stan,vrij,zonder)",lemma,welk een dwaasheid,
pro:dem:pron&3s:o-STAN-VOL,[U524a],"VNW(aanw,pron,stan,vol,3o,ev)",lemma,"dat, dit, zulks",
pro:dem:pron&3s:o-STAN-NADR,[U524b],"VNW(aanw,pron,stan,nadr,3o,ev)",lemma,"datte, ditte",
